epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,seconds
1,0.9318143299250927,0.8827184466019418,0.8641189937307767,0.575799507527326,0.9698046181172292,0.9617401630779564,128.29168915748596
2,0.4766484754178131,0.9972815533980582,0.996815408926441,0.5340859827521004,0.9786856127886323,0.9738204251734512,103.84565424919128
3,0.46468861186388627,0.9970873786407767,0.9972283423098045,0.6119994057431738,0.9431616341030196,0.9386965704378508,104.25854015350342
4,0.48486963494310104,0.9910679611650486,0.99080411951613,0.556341684415116,0.9626998223801065,0.948654463648288,103.83207488059998
5,0.45583867605450085,0.9974757281553398,0.9974360996994305,0.5293536397428327,0.9822380106571936,0.9809650666339941,104.23257803916931
6,0.46729032339401616,0.9953398058252427,0.9957163455572453,0.542118440354061,0.9751332149200711,0.9680538962194842,103.79717421531677
7,0.48477389942095117,0.9916504854368932,0.9873890867960511,0.8198433686742562,0.8792184724689165,0.8477795651039598,104.21239066123962
8,0.4969698437325005,0.9875728155339806,0.9833723299416061,0.5968665790811949,0.9484902309058615,0.9436527304332807,103.78159356117249
9,0.4537047245895978,0.9974757281553398,0.9975668543456787,0.5322094546965129,0.9769094138543517,0.9771398671151327,103.75090837478638
10,0.44562606005992705,0.9998058252427184,0.9998315789473685,0.5178165565481406,0.9840142095914742,0.9856710006413401,104.15765595436096
11,0.44277332645018125,1.0,1.0,0.5425977504698041,0.9786856127886323,0.976900986481549,104.09768009185791
12,0.4427798531472104,0.9998058252427184,0.9998011141960187,0.5082946859075164,0.9786856127886323,0.9767826175701039,104.07704210281372
13,0.4413174679094148,1.0,1.0,0.532504781313095,0.9751332149200711,0.973650773993808,103.95943236351013
14,0.44008851102254926,1.0,1.0,0.521018006397183,0.9786856127886323,0.9769214942756418,103.32134342193604
15,0.4404837515168977,1.0,1.0,0.5197654019240587,0.9769094138543517,0.974961287078934,103.49331784248352
16,0.43976702128799217,1.0,1.0,0.509382143907818,0.9804618117229129,0.9787353282677367,103.28332853317261
